siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement,site_web,statut_recherche,source_site_web,site_verifie,verification_raison,nb_pages,profondeur_max,has_sitemap,has_blog,blog_url,has_rss,blog_status,derniere_maj_blog,frequence_publication,derniere_date,activite_status,pages_sans_title,pages_title_court,titles_dupliques,pages_sans_meta_desc,pages_sans_h1,pages_h1_multiple,pages_sans_canonical,has_robots_txt,pages_noindex,mots_moyen_par_page,pages_vides,ratio_texte_html,cms_detecte,audit_erreur
418756136,10,41875613600010,O,1998-05-02,11,2023,3012ZZ,2025-12-06T03:25:25.296,True,A,O,,1998-05-02,5499,TECK INOX,,,,,,,,,,,3315Z,NAFRev2,,N,,11,2023,10,2025-12-06T05:54:01.711,PME,2023,,34.0,,,RUE,DU TOURMENTIN,17000,LA ROCHELLE,,17300,,,173007991_B,379040.87530450965,6569246.956505198,A,,,,,33.15Z,NAFRev2,O,33.15Y,https://www.teck-inox.com/,TROUVÉ,DDG Rank 1,True,Mot-clé 'teck' trouvé dans le domaine,10.0,1.0,False,True,https://www.teck-inox.com/blog,True,abandonné,2019-07-29,,2019-07-29,abandonné,0.0,3.0,0.0,6.0,0.0,1.0,0.0,True,1.0,531.0,0.0,0.03,WordPress,
523371391,13,52337139100013,O,2010-04-06,32,2023,,2025-12-05T23:06:49.592,True,A,O,,2010-04-06,5710,AP YACHT CONCEPTION,,,,,,,,,,,3012Z,NAFRev2,,N,,32,2023,13,2025-12-09T08:22:30.142,ETI,2023,ZONE INDUSTRIELLE,1.0,,,,LA PENISSIERE,17230,MARANS,,17218,,,17218i9n1_B,392472.16,6583888.8,A,,,,,30.12Z,NAFRev2,O,30.12Y,,NON TROUVÉ,,False,URL manquante,,,,,,,,,,,,,,,,,,,,,,,,,
395237522,28,39523752200028,O,2003-05-01,12,2023,,2025-12-06T03:07:12.548,True,A,O,,1994-02-01,5499,SARL LECAMUS,,,,,,,,,,,3315Z,NAFRev2,,,,12,2023,28,2025-12-06T05:16:51.393,PME,2023,,10.0,,,RUE,DE LA COTE D'IVOIRE,17000,LA ROCHELLE,,17300,,,173002170_B,374495.4172011495,6570505.0394882895,A,,,,,33.15Z,NAFRev2,O,33.15Y,https://www.lecamus.com/,TROUVÉ,DDG Rank 2,True,Mot-clé 'lecamus' trouvé dans le domaine,10.0,1.0,False,False,,False,absent,,,,inconnu,0.0,2.0,0.0,0.0,9.0,0.0,0.0,True,0.0,227.0,0.0,0.0,Wix,
781804141,21,78180414100021,O,2008-10-10,32,2023,,2025-12-05T15:39:34.431,True,A,O,,1987-08-21,4110,GRAND PORT MARITIME DE BORDEAUX,,,,,,,,,,,5222Z,NAFRev2,,N,,32,2023,21,2025-12-06T07:35:15.107,ETI,2023,,152.0,,,QUAI,DE BACALAN,33300,BORDEAUX,,33063,,,330630540_B,419649.9959633732,6424532.263983427,A,BORDEAUX PORT ATLANTIQUE,,,,52.22Z,NAFRev2,O,52.22Y,,NON TROUVÉ,,False,URL manquante,,,,,,,,,,,,,,,,,,,,,,,,,
404875452,33,40487545200033,O,2002-10-01,12,2023,3012ZZ,2025-12-05T19:32:45.909,True,A,O,,1996-04-15,5710,EXEL YACHTING,,,,,,,,,,,3012Z,NAFRev2,,N,,21,2023,33,2025-12-06T07:32:42.949,ETI,2023,,6.0,,,RUE,DES RIVAUDS,17000,LA ROCHELLE,,17300,,,173007093_B,375823.81653637375,6572291.4224463785,A,,,,,30.12Z,NAFRev2,O,30.12Y,https://www.exel-industries.com/,TROUVÉ,DDG Rank 1,True,Mot-clé 'exel' trouvé dans le domaine,10.0,1.0,True,True,https://www.exel-industries.com/publications-financieres,True,actif,2026-02-09,rare,2026-02-09,actif,0.0,0.0,0.0,1.0,9.0,0.0,0.0,True,0.0,1206.0,0.0,0.05,WordPress,
781333364,11,78133336400011,O,1900-01-01,11,2023,,2025-12-05T19:31:25.292,True,A,O,,1900-01-01,8490,SYNDICAT PROFESSIONNEL DES PILOTES MARITIMES,,,,,,,,,,,5222Z,NAFRev2,,N,,11,2023,11,2025-12-06T05:18:42.678,PME,2023,,160.0,,,RUE,DU SENEGAL,17000,LA ROCHELLE,,17300,,,173007630_B,374458.71,6570828.62,A,,,,,52.22Z,NAFRev2,O,52.22Y,https://lamanage-syndicatpro.fr/,TROUVÉ,DDG Rank 4,True,Mot-clé 'syndicat' trouvé dans le domaine,10.0,1.0,False,False,,True,absent,,,,inconnu,0.0,0.0,0.1,10.0,5.0,0.0,0.0,True,0.0,515.0,0.0,0.02,WordPress,
410433304,20,41043330400020,O,2012-09-27,11,2023,,2025-12-06T04:13:41.714,True,A,O,,1996-12-05,5710,ALTERNATIVES ENERGIES,,,,,,,,,,,3011Z,NAFRev2,,N,,11,2023,20,2025-12-06T10:32:53.749,ETI,2023,,52.0,,,RUE,SENAC DE MEILHAN,17000,LA ROCHELLE,,17300,,,173007616_B,379630.72093437455,6569592.419617988,A,,,,,30.11Z,NAFRev2,O,30.11Y,https://www.alternativesenergies.com/,TROUVÉ,DDG Rank 1,True,Mot-clé 'alternatives' trouvé dans le domaine,10.0,1.0,False,True,https://www.alternativesenergies.com/actualites-alternatives-energies,True,abandonné,2020-06-16,rare,2020-06-16,abandonné,0.0,0.0,0.0,1.0,0.0,0.0,1.0,True,1.0,558.0,0.0,0.02,WordPress,
410757991,22,41075799100022,O,2020-01-01,3,2023,,2025-12-05T23:19:24.319,True,A,O,,1997-01-01,5499,ATELIERS MECANIQUES DES PERTUIS,,,,,,,,,,,3315Z,NAFRev2,,N,,11,2023,22,2025-12-06T07:41:24.575,PME,2023,PORT DE CHEF DE BAIE,,,,RUE,SAMUEL DE CHAMPLAIN,17000,LA ROCHELLE,,17300,,,173007515_B,375371.33867806016,6569793.551845904,A,,,,,33.15Z,NAFRev2,N,33.15Y,,NON TROUVÉ,,False,URL manquante,,,,,,,,,,,,,,,,,,,,,,,,,
410828198,29,41082819800029,O,2002-08-26,11,2023,3315ZZ,2025-12-05T19:34:11.324,True,A,O,,1997-01-05,5499,MAIRE MARINE COMPETENCES,,,,,,,,,,,3011Z,NAFRev2,,N,,11,2023,29,2025-12-06T06:28:38.584,PME,2023,PARC D'ENTREPRISES,11.0,,,RUE,SUFFREN,33950,LEGE-CAP-FERRET,,33236,,,332361616_B,370440.96772581706,6418444.177086371,A,,,,,33.15Z,NAFRev2,O,33.15Y,,NON TROUVÉ,,False,URL manquante,,,,,,,,,,,,,,,,,,,,,,,,,
413843319,34,41384331900034,O,2007-02-01,11,2023,3012ZZ,2025-12-05T22:39:25.899,True,A,O,,1997-09-05,5710,GRASSI BATEAUX SARL,,,,,,,,,,,3315Z,NAFRev2,,N,,11,2023,34,2025-12-06T05:26:19.53,PME,2023,PLATEAU NAUTIQUE,5.0,,,RUE,SENAC DE MEILHAN,17000,LA ROCHELLE,,17300,,,173007616_B,379630.72093437455,6569592.419617988,A,,,,CAP AU LARGE,33.15Z,NAFRev2,O,33.15Y,https://www.grassibateaux.com/,TROUVÉ,DDG Rank 1,True,Mot-clé 'grassi' trouvé dans le domaine,10.0,1.0,False,True,https://www.grassibateaux.com/actualites,False,présent,,,2026-02-05,semi-actif,0.0,0.0,0.0,6.0,0.0,0.0,0.0,True,0.0,395.0,0.0,0.04,WordPress,
775582927,64,77558292700064,O,2001-08-09,12,2023,,2025-12-06T04:44:53.383,True,A,O,,1985-04-01,8490,PILOTAGE DE LA GIRONDE,,,,,,,,,,,5222Z,NAFRev2,,,,12,2023,64,2025-12-06T07:30:47.677,PME,2023,,4.0,,,IMPASSE,FRANKLIN,33530,BASSENS,,33032,,,330320358_B,421772.78075011104,6427967.069877969,A,,,,,52.22Z,NAFRev2,O,52.22Y,https://pilotagegironde.com/,TROUVÉ,DDG Rank 1,True,Mot-clé 'pilotage' trouvé dans le domaine,10.0,1.0,False,False,,False,absent,,,,inconnu,0.0,8.0,0.0,2.0,10.0,0.0,10.0,True,0.0,148.0,2.0,0.06,Joomla,
421481169,90,42148116900090,O,2005-12-15,12,2023,,2025-12-05T20:07:18.325,True,A,O,,1998-12-17,5710,CROISIERES INTER-ILES,,,,,,,,,,,5010Z,NAFRev2,,N,,12,2023,90,2025-12-25T13:17:14.594,PME,2023,LE GABUT,3.0,,,,VC PROMENOIR COUREAULEURS,17000,LA ROCHELLE,,17300,,,,,,A,CROISIERES INTER-ILES,,,,50.10Z,NAFRev2,O,50.10Y,,NON TROUVÉ,,False,URL manquante,,,,,,,,,,,,,,,,,,,,,,,,,
421800897,17,42180089700017,O,1998-11-26,11,2023,3012ZZ,2025-12-06T03:18:13.006,True,A,O,,1998-11-26,5499,STRATO COMPO,,,,,,,,,,,3012Z,NAFRev2,,,,11,2023,17,2025-12-06T07:55:59.11,PME,2023,,49.0,,,ROUTE,DE DEPEE,33590,GRAYAN-ET-L'HOPITAL,,33193,,,331930130_B,379261.4943753136,6487974.469595772,A,,,,,30.12Z,NAFRev2,O,30.12Y,https://www.stratocompo.com/,TROUVÉ,DDG Rank 1,True,Mot-clé 'strato' trouvé dans le domaine,10.0,1.0,True,True,https://www.stratocompo.com/actualites-composites/2015/05/30/radikal-26-voile-magazine-juin-2015.html,False,présent,,,,inconnu,0.0,0.0,0.1,0.0,0.0,0.0,0.0,True,0.0,452.0,0.0,0.08,WordPress,
430366450,38,43036645000038,O,2013-02-14,12,2023,3315ZZ,2025-12-06T02:29:33.611,True,A,O,,2000-04-03,5710,NAUTIC ELEC - GULF STREAM,,,,,,,,,,,3315Z,NAFRev2,,N,,12,2023,38,2025-12-06T05:20:37.496,PME,2023,,6.0,,,RUE,VIRGINIE HERIOT,17000,LA ROCHELLE,,17300,,,173008381_B,379723.5436467396,6569310.41197532,A,,,,NAUTIC ELEC - GULF STREAM,33.15Z,NAFRev2,O,33.15Y,https://www.nautic-elec.com/,TROUVÉ,DDG Rank 1,True,Mot-clé 'nautic' trouvé dans le domaine,2.0,1.0,False,False,,False,absent,,,,inconnu,0.0,0.0,0.0,2.0,0.0,1.0,0.0,True,0.0,242.0,0.0,0.02,WordPress,
432678894,10,43267889400010,O,2000-08-23,11,2023,3012ZZ,2025-12-06T00:58:58.288,True,A,O,,2000-08-23,5499,DUBOURDIEU 1800,,,,,,,,,,,3012Z,NAFRev2,,,,11,2023,10,2025-12-06T08:17:58.776,PME,2023,,,,,PORT,DE LARROS,33470,GUJAN-MESTRAS,,33199,,,33199B222_B,377189.28316395706,6402028.169401701,A,,,,,30.12Z,NAFRev2,O,30.12Y,https://www.dubourdieu.fr/,TROUVÉ,DDG Rank 1,True,Mot-clé 'dubourdieu' trouvé dans le domaine,10.0,1.0,False,True,https://www.dubourdieu.fr/press/,True,présent,,,,inconnu,0.0,1.0,0.0,9.0,6.0,0.0,0.0,True,0.0,556.0,0.0,0.02,WordPress,
681780318,17,68178031800017,O,1968-01-01,12,2023,,2025-12-06T01:43:52.409,True,A,O,,1968-01-01,5710,LAMANAGE ET SERVICES MARITIMES DES PORTS DE LA ROCHELLE - CHARENTE,,,,,,,,,,,5222Z,NAFRev2,,,,12,2023,17,2025-12-06T08:06:51.874,PME,2023,TERRE PLEIN NORD L'ECLUSE,,,,CHAUSSEE,DE CEINTURE NORD,17000,LA ROCHELLE,,17300,,,173001470_B,374711.261297822,6570918.31839862,A,LAMANAGE LA ROCHELLE - CHARENTE,,,,52.22Z,NAFRev2,O,52.22Y,https://lamanage-syndicatpro.fr/,TROUVÉ,DDG Rank 4,True,Mot-clé 'lamanage' trouvé dans le domaine,10.0,1.0,False,False,,True,absent,,,,inconnu,0.0,0.0,0.1,10.0,5.0,0.0,0.0,True,0.0,515.0,0.0,0.02,WordPress,
671780179,48,67178017900048,O,2022-12-01,11,2023,3012ZZ,2025-12-05T17:00:45.102,True,A,O,,1967-01-01,5710,STE FERNAND HERVE SARL,,,,,,,,,,,3012Z,NAFRev2,,N,,11,2023,48,2025-12-06T07:10:10.742,PME,2023,,22.0,,,AVENUE,BERNARD MOITESSIER,17180,PERIGNY,,17274,,,172740172_B,382463.3882341255,6570338.145025165,A,,,,,30.12Z,NAFRev2,O,30.12Y,,NON TROUVÉ,,False,URL manquante,,,,,,,,,,,,,,,,,,,,,,,,,
461200834,38,46120083400038,O,1999-03-01,12,2023,,2025-12-05T22:23:05.561,True,A,O,,1961-01-01,5460,"SOCIETE DE LAMANAGE DU PORT DE BORDEAUX ""ENTREPRISE MARITIME""",,,,,,,,,,,5222Z,NAFRev2,,O,,12,2023,38,2025-12-06T11:18:54.323,PME,2023,,1.0,,,ALLEE,ERIC TABARLY,33310,LORMONT,,33249,,,332490681_B,421191.6002813666,6426621.214850241,A,,,,,52.22Z,NAFRev2,O,52.22Y,http://www.convention-entreprise.fr/,TROUVÉ,DDG Rank 5,True,Mot-clé 'entreprise' trouvé dans le domaine,0.0,0.0,False,False,,False,absent,,,,inconnu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,,Aucune page accessible
485389811,20,48538981100020,O,2015-02-04,22,2023,,2025-12-06T02:58:02.052,True,A,O,,2006-01-01,4110,GRAND PORT MARITIME DE LA ROCHELLE,,,,,,,,,,,5222Z,NAFRev2,,,,22,2023,20,2025-12-06T09:20:43.164,PME,2023,,141.0,,,BOULEVARD,EMILE DELMAS,17000,LA ROCHELLE,,17300,,,173002840_B,374431.2656236289,6570994.570178892,A,,,,PORT ATLANTIQUE LA ROCHELLE / PALR,52.22Z,NAFRev2,O,52.22Y,https://www.larochelle.port.fr/,TROUVÉ,DDG Rank 3,True,Mot-clé 'port' trouvé dans le domaine,10.0,1.0,False,True,https://www.larochelle.port.fr/nos-engagements/ressources-humaines/cartographie-des-metiers-du-port,False,présent,,,,inconnu,0.0,5.0,0.1,0.0,0.0,0.0,0.0,True,1.0,337.0,1.0,0.04,,
