siren,denominationUniteLegale,trancheEffectifsUniteLegale,site_web,prospect_score,performance,seo,accessibilite,bonnes_pratiques,prospect_summary,lighthouse_report_path
300685609,ROTOMOD,21,https://www.rotomod.com/en/,0.0,0.0,0.0,0.0,0.0,,
421800897,STRATO COMPO,11,https://www.stratocompo.com/,0.0,0.0,0.0,0.0,0.0,,
523371391,AP YACHT CONCEPTION,32,,0.0,0.0,0.0,0.0,0.0,,
518336623,SEALVER,11,https://sealver.com/waveboat-home-en/,0.0,0.0,0.0,0.0,0.0,,
793725342,CHANTIER DE L'ARSENAL,11,https://chantierdelarsenal.fr/,0.0,0.0,0.0,0.0,0.0,,
812206340,Z NAUTIC,21,https://www.znauticgroup.com/en,0.0,0.0,0.0,0.0,0.0,,
514815844,NEEL TRIMARANS,22,https://www.neel-trimarans.com/,0.0,0.0,0.0,0.0,0.0,,
511791410,CHANTIER NAVAL COUACH - CNC,31,https://couach.com/fr/,0.0,0.0,0.0,0.0,0.0,,
507978369,SURVITEC SAS,12,https://survitecgroup.com/,0.0,0.0,0.0,0.0,0.0,,
307309898,FOUNTAINE PAJOT,41,https://www.fountaine-pajot.com/en/,0.0,0.0,0.0,0.0,0.0,,
502300213,C3 TECHNOLOGIES,12,https://c-3technologies.com/,0.0,0.0,0.0,0.0,0.0,,
815131842,PINBALL BOAT,11,https://www.pinball-boat.com/,0.0,0.0,0.0,0.0,0.0,,
432678894,DUBOURDIEU 1800,11,https://www.dubourdieu.fr/,0.0,0.0,0.0,0.0,0.0,,
410433304,ALTERNATIVES ENERGIES,11,https://www.alternativesenergies.com/en/,0.0,0.0,0.0,0.0,0.0,,
404875452,EXEL YACHTING,21,http://www.exel-yachting.com/,0.0,0.0,0.0,0.0,0.0,,
830434809,RM YACHTS,12,https://www.rm-yachts.com/en/home/,0.0,0.0,0.0,0.0,0.0,,
389002593,ATLANTIQUE SELLERIE CHRISTIAN COSTES,11,http://atlantiquesellerie.com/,0.0,0.0,0.0,0.0,0.0,,
379124779,NAUTITECH CATAMARANS,22,https://www.nautitechcatamarans.com/en,0.0,0.0,0.0,0.0,0.0,,
342012390,CONSTRUCTION NAVALE BORDEAUX,41,,0.0,0.0,0.0,0.0,0.0,,
892273319,BY PAINT SERVICE,11,,0.0,0.0,0.0,0.0,0.0,,
903686079,CHANTIER NAVAL DES MINIMES,11,https://chantier-naval-minimes.com/,0.0,0.0,0.0,0.0,0.0,,
335184461,B2 MARINE,11,https://www.b2marine.fr/en,0.0,0.0,0.0,0.0,0.0,,
313781650,SA CHANTIERS AMEL,22,https://amel.fr/,0.0,0.0,0.0,0.0,0.0,,
950596429,DUFOUR YACHTS,32,https://www.dufour-yachts.com/en/,0.0,0.0,0.0,0.0,0.0,,
671780179,STE FERNAND HERVE SARL,11,,0.0,0.0,0.0,0.0,0.0,,
441133808,NAVAL GROUP,53,https://www.naval-group.com/en,0.0,0.0,0.0,0.0,0.0,,
340889476,OCEA,32,https://ocea.org/,0.0,0.0,0.0,0.0,0.0,,
